key,es,en
CARD_111_DESC,"{condition:Mi {player:jugador} ha {play:jugado} 4 {family:monedas del caos} o más}. Durante los pŕoximos 4 turnos, al {endround:acabar el turno} {play:juego} una {family:moneda del caos} de la mano de mi {player:jugador}","{condition:My {player:player} has {play:played} 4 or more {family:chaos coins}}. For the next 4 turns, at the {endround:end of turn} I {play:play} a {family:chaos coin} from my {player:player}'s hand"
CARD_111_GLOBAL_EFFECT,FINAL DE RONDA: juego una moneda de la mano del jugador,END OF ROUND: I play a coin from the hand of the player
CARD_112_NAME,Apostador demacrado,Gaunt Gambler
CARD_112_DESC,"Cuando mi {player:jugador} {play:juega} una {family:moneda del caos}, consigo [+1/+1]","When my {player:player} {play:plays} a {family:chaos coin}, I get [+1/+1]"
CARD_113_NAME,Invocación del caos,Summoning of Chaos
CARD_113_DESC,{condition:Mi {player:jugador} ha {play:jugado} 10 {family:monedas del caos} o más}. {add:Creo} tres monedas de las profundidades en su mano,{condition:My {player:player} has {play:played} 10 or more {family:chaos coins}}. I {add:create} three Coins of the Depths in their hand
CARD_114_NAME,Invocador de las profundidades,Summoner of the Depths
CARD_114_DESC,"Las pŕoximas tres {family:moneda del caos} que {play:juegue} mi {player:jugador}, {add:creo} dos en su {deck:mazo}","The next three {family:chaos coins} my {player:player} {play:plays}, I {add:create} two in their {deck:deck}"
DECK_11_NAME,Misterioso adicto,Mysterious Addict
DECK_11_DESC,"Prueba tu suerte. Deja la victoria en manos del azar, y juega monedas que pueden o no ganarte la partida. Perfecto para olvidarte de las estrategias.","Try your luck. Leave victory in the hands of chance, and play coins that may or may not win you the match. Perfect for forgetting about strategies."
DECK_10_NAME,Tecnomago,Technomancer
DECK_10_DESC,Escala el poder de tus cartas poco a poco mientras utilizas virus y copias de seguridad para mantenerte vivo en la partida. Perfecto para jugadores experimentados.,Scale up the power of your cards little by little while using viruses and backups to stay alive in the match. Perfect for experienced players.
DECK_9_NAME,Archimago del invierno,Archmage of Winter
DECK_9_DESC,"Niega el ataque de las unidades enemigas, controla el terreno de batalla y no dejes que tu rival te abrume. Perfecto para gente con ansiedad.","Deny the enemy units' attack, control the battlefield, and don't let your rival overwhelm you. Perfect for people with anxiety."
DECK_7_NAME,Don Bola de Fuego Jr,Don Fireball Jr.
DECK_7_DESC,"Tu fuerza reside en los hechizos. Acaba con las unidades del enemigo sin darles opción a atacar, y ve drenando la vida del rival poco a poco. Perfecto para quienes les gusta controlar la partida.","Your strength lies in your spells. Wipe out the enemy's units before they get a chance to attack, and drain the rival's life little by little. Perfect for those who like to control the match."
DECK_5_NAME,El mago del queso,The Cheese Wizard
DECK_5_DESC,"Infla de ratas el mazo rival, potencia las tuyas propias y hazle caer en la desesperación. Perfecto para quien quiera pasárselo bien.","Fill the rival's deck with rats, empower your own, and drive them to despair. Perfect for those who want to have a good time."
DECK_6_NAME,El Ingenioso Hidalgo Don Quijote de la Mancha,The Ingenious Gentleman Don Quixote of La Mancha
DECK_6_DESC,Combina los efectos de tus unidades para crear criaturas peligrosas. Encuentra a Don Quijote y destapa la locura. Perfecto para un estilo de bola de nieve.,Combine your units' effects to create dangerous creatures. Find Don Quixote and unleash the madness. Perfect for a snowball playstyle.
DECK_8_NAME,Mago cachas,Buff Wizard
DECK_8_DESC,"Entrena con tus cartas y ponlas fuertes. No le des tiempo a tu rival para responder y la victoria será tuya. Perfecto para quienes quieren tener una victoria rápida.","Train your cards and make them strong. Don't give your rival time to respond and victory will be yours. Perfect for those who want a quick win."
